AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,5,200.000-299.999 kr.,448
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,6,300.000-399.999 kr.,528
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,7,400.000-499.999 kr.,463
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,8,500.000-599.999 kr.,415
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,9,600.000-699.999 kr.,361
2014,1,1. Indre By,8,Hustande med 2 eller flere familier,,10,700.000 kr. og derover,1427
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,1,-49.999 kr.,591
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,2,50.000-99.999 kr.,913
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,3,100.000-149.999 kr.,2017
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,4,150.000-199.999 kr.,3784
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,5,200.000-299.999 kr.,3550
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,6,300.000-399.999 kr.,2975
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,7,400.000-499.999 kr.,2108
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,8,500.000-599.999 kr.,1026
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,9,600.000-699.999 kr.,496
2014,2,2. Østerbro,1,Enlige,Enlige uden børn,10,700.000 kr. og derover,750
2014,2,2. Østerbro,2,Enlige,Enlige med børn,1,-49.999 kr.,57
2014,2,2. Østerbro,2,Enlige,Enlige med børn,2,50.000-99.999 kr.,50
2014,2,2. Østerbro,2,Enlige,Enlige med børn,3,100.000-149.999 kr.,88
2014,2,2. Østerbro,2,Enlige,Enlige med børn,4,150.000-199.999 kr.,307
2014,2,2. Østerbro,2,Enlige,Enlige med børn,5,200.000-299.999 kr.,400
2014,2,2. Østerbro,2,Enlige,Enlige med børn,6,300.000-399.999 kr.,562
2014,2,2. Østerbro,2,Enlige,Enlige med børn,7,400.000-499.999 kr.,532
